County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
3,"$75,000 under $100,000",860,774,579,2444,803,74216,791,59120,535,667,211,511,196,284,149,1258,103,161,514,100,1505,216,5400,96,424,147,2419,0,0,466,8745,445,1559,29,59,440,745,466,2567,390,2987,377,1175,858,52152,502,893,123,96,331,591,103,48,0,0,0,0,0,0,24,40,852,6472,853,6895,206,692,653,2214
3,"$100,000 under $200,000",646,614,457,1996,729,82682,614,63598,490,899,235,785,210,537,124,2047,83,173,1167,94,3721,176,5574,48,224,94,1773,33,525,523,11692,509,2876,0,0,502,1154,523,4386,441,3926,453,2067,646,62380,394,616,117,112,198,309,69,37,0,0,0,0,0,0,0,0,644,10060,646,10635,224,1282,422,1799
3,"$200,000 or more",137,123,118,406,143,54280,124,32246,118,544,86,1551,81,1285,31,2139,29,79,6774,0,0,32,1052,0,0,26,495,0,0,127,6194,124,2494,0,0,122,535,127,3126,95,1407,119,1434,137,46486,68,52,0,0,0,0,0,0,0,0,0,0,0,0,93,527,137,11693,137,11998,74,2720,62,893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Atchison County,2590,1220,1890,5029,1338,126310,2028,72134,1207,1926,550,3689,486,3324,477,4970,354,379,2438,242,2016,479,7413,160,984,435,4744,24,515,472,9350,401,2231,63,43,348,538,470,3040,259,1522,331,1581,2015,85071,808,1084,169,142,410,555,85,39,248,296,417,757,354,670,45,187,1838,12760,1995,15341,699,6404,1781,4402
5,Under $1,34,0,28,53,0,-1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"$1 under $25,000",993,188,651,1346,310,11930,758,8666,321,310,112,151,93,80,155,742,63,81,364,70,326,146,1011,70,471,37,60,0,0,46,761,0,0,29,15,28,37,45,81,0,0,31,71,464,2706,94,51,0,0,37,14,0,0,140,154,294,572,253,522,0,0,404,253,522,522,150,204,773,1410
5,"$25,000 under $50,000",662,301,490,1315,350,24324,550,17732,268,306,101,103,87,46,109,692,69,55,5,56,513,131,1970,49,273,160,947,0,0,80,1317,71,206,34,28,54,74,79,294,53,253,42,111,651,13100,265,237,54,38,145,148,0,0,108,142,123,185,101,148,0,0,554,1366,584,1643,136,330,522,1230
5,"$50,000 under $75,000",411,310,324,1016,292,25433,342,17604,247,331,122,241,106,181,84,554,73,74,265,50,306,95,1642,41,240,107,1397,0,0,102,1731,93,224,0,0,79,95,102,397,60,314,61,202,410,16679,196,300,47,39,117,197,49,20,0,0,0,0,0,0,0,0,392,1950,401,2281,150,620,260,733
5,"$75,000 under $100,000",220,185,171,570,163,18968,175,11239,157,331,92,153,84,115,57,990,51,55,306,26,189,53,1240,0,0,56,886,24,515,64,1169,63,281,0,0,48,60,64,367,37,219,51,236,220,13985,111,214,37,34,67,130,36,19,0,0,0,0,0,0,0,0,218,1784,218,2201,95,736,124,457
5,"$100,000 under $200,000",220,190,180,599,189,28971,172,14178,174,377,91,276,85,186,72,1992,72,83,727,40,682,54,1550,0,0,75,1454,0,0,136,2870,132,869,0,0,109,189,136,1139,89,484,111,619,220,22828,113,204,31,31,44,66,0,0,0,0,0,0,0,0,0,0,220,3801,220,4603,127,1917,102,572
5,"$200,000 or more",50,46,46,130,34,17692,31,2715,40,271,32,2765,31,2716,0,0,26,31,771,0,0,0,0,0,0,0,0,0,0,44,1502,42,651,0,0,30,83,44,762,20,252,35,342,50,15773,29,78,0,0,0,0,0,0,0,0,0,0,0,0,45,187,50,3606,50,4091,41,2597,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Audrain County,10745,4562,7189,21775,6657,408186,8635,289908,4233,8114,2134,5439,1940,3948,1532,16152,900,1458,6550,1151,11146,2229,31638,974,5327,1502,14851,46,823,1773,32573,1381,5743,361,370,1553,2461,1768,9238,1194,7562,1306,5693,7609,248148,3471,3946,556,496,1819,2211,463,228,1655,2134,2383,5083,2095,4639,70,312,6558,34130,7137,38279,1756,6445,8341,21623
7,Under $1,167,69,138,283,57,-5841,44,561,82,114,42,90,41,57,63,-786,50,64,17,0,0,24,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,0,0,70,87
7,"$1 under $25,000",4905,950,3113,7915,2397,59540,3642,43348,1323,1493,550,808,486,496,527,2587,263,360,185,378,1795,813,5906,480,2629,218,342,0,0,252,3861,74,78,165,97,190,234,249,424,103,500,159,327,2022,11881,580,196,40,18,215,75,54,20,1084,1271,1706,3947,1558,3683,0,0,1596,1064,1989,1621,447,251,3932,8567
