County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
3,"$25,000 under $50,000",4140,2108,2814,9455,3047,148292,3682,116638,1667,1646,463,669,413,496,616,4335,139,308,323,409,3842,733,9412,988,7307,739,4077,28,262,1041,14649,868,1834,153,145,924,1087,1039,3191,820,4893,795,2641,3969,70886,1940,1623,240,176,1153,1073,179,65,864,1303,1026,1779,823,1471,0,0,3114,6837,3369,7928,451,603,3665,10020
3,"$50,000 under $75,000",2151,1758,1517,5722,1786,131507,2004,105129,1208,995,407,972,357,788,378,3163,107,262,373,267,3564,473,7267,505,3574,405,5504,0,0,1000,16621,928,3125,58,64,939,1184,1000,4555,883,5716,861,3194,2146,81319,1173,1763,204,184,779,1237,195,80,101,120,0,0,0,0,0,0,2048,8936,2070,9777,439,793,1710,4787
3,"$75,000 under $100,000",1032,965,709,2837,834,88673,951,68735,731,824,270,702,236,572,174,1217,49,191,610,149,2476,281,7192,193,1344,220,4062,0,0,731,13689,702,3376,22,27,706,1001,731,4551,651,4621,640,2897,1032,61114,569,948,130,116,369,620,113,48,0,0,0,0,0,0,0,0,1025,7470,1026,7877,234,523,797,2577
3,"$100,000 under $200,000",744,696,542,2094,648,95618,673,69198,591,1254,311,1780,291,1316,148,2556,38,236,1790,124,3238,229,6851,79,642,153,3394,0,0,672,17138,650,5028,22,36,638,1319,672,6542,560,4870,617,3786,742,70039,409,590,114,115,189,263,85,41,0,0,0,0,0,0,26,40,739,11231,740,11841,263,1407,479,2379
3,"$200,000 or more",127,117,100,346,102,54013,114,25529,117,2113,75,1615,73,1256,32,2423,0,72,5005,26,1341,47,1604,0,0,28,680,0,0,123,8179,120,3830,0,0,119,513,123,4383,86,1422,117,1608,127,44520,51,103,0,0,0,0,0,0,0,0,0,0,0,0,85,474,127,11755,127,11978,57,1346,69,1576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Alleghany County,4562,2261,3592,9439,2511,160281,3402,99561,1954,3716,832,4855,785,3942,964,7016,454,735,13307,593,8812,1089,20128,706,4414,678,6837,0,0,993,21421,754,4145,217,195,868,1395,991,5904,744,6126,831,4260,2891,91974,1206,1181,254,193,594,647,114,46,782,1022,1057,2142,908,1836,42,389,2453,12843,2898,14381,689,1924,3563,9185
5,Under $1,136,74,118,228,30,-5945,38,635,73,85,37,70,36,60,50,-1134,55,61,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,93
5,"$1 under $25,000",2310,649,1786,4042,1062,27933,1640,18591,716,916,251,408,232,272,433,2299,130,212,763,234,1467,418,3396,354,2041,89,152,0,0,163,2439,65,80,88,53,126,158,162,305,98,670,129,252,840,4603,228,65,33,12,68,22,0,0,522,622,805,1695,701,1473,0,0,677,413,1031,829,229,124,1874,3691
5,"$25,000 under $50,000",1133,701,897,2690,772,40647,927,28282,483,541,189,393,177,290,236,1540,113,159,1463,154,1615,311,5138,257,1763,281,1588,0,0,270,4095,197,408,69,63,231,260,270,781,203,1397,205,526,1073,18386,497,408,92,54,284,256,64,23,238,368,252,447,207,363,0,0,830,1661,913,1996,172,257,949,2589
5,"$50,000 under $75,000",519,416,411,1299,354,31514,431,21717,309,624,133,308,125,192,115,1060,67,119,551,85,1095,175,4293,63,362,154,2096,0,0,212,3942,184,642,26,26,188,237,212,929,170,1390,176,579,514,19459,249,331,64,42,154,227,50,23,22,32,0,0,0,0,0,0,490,2189,497,2418,134,276,384,1043
5,"$75,000 under $100,000",231,215,189,607,160,19810,193,12786,172,230,90,193,87,165,71,173,37,64,566,55,1299,87,3297,32,248,68,1187,0,0,142,2821,124,578,34,53,136,221,141,848,121,1094,130,450,231,13733,118,183,41,36,57,99,0,0,0,0,0,0,0,0,0,0,225,1673,226,1772,70,155,160,521
5,"$100,000 under $200,000",188,167,150,455,99,24479,143,13184,160,677,100,794,96,663,59,3078,52,85,1842,65,3336,98,4004,0,0,86,1814,0,0,161,4136,145,1262,0,0,147,313,161,1635,125,1197,150,830,188,18368,89,131,24,49,31,43,0,0,0,0,0,0,0,0,0,0,186,2939,186,3195,84,1112,122,692
5,"$200,000 or more",45,39,41,118,34,21843,30,4366,41,643,32,2689,32,2300,0,0,0,35,7417,0,0,0,0,0,0,0,0,0,0,45,3988,39,1175,0,0,40,206,45,1406,27,378,41,1623,45,17425,25,63,0,0,0,0,0,0,0,0,0,0,0,0,42,389,45,3968,45,4171,0,0,26,556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
