County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
3,"$25,000 under $50,000",5248,2223,3318,13685,4388,185707,4756,155070,1460,2169,475,704,433,455,750,6832,291,320,651,351,3709,839,11146,572,3705,742,4286,23,181,895,12537,49,131,750,979,720,816,876,1943,679,4705,555,1699,4947,85970,2597,2313,253,213,1814,1620,198,100,1508,3059,1268,2188,1012,1787,0,0,3567,8013,3842,9327,528,851,4699,14812
3,"$50,000 under $75,000",2394,1804,1554,6329,2034,146602,2160,116752,1128,2080,385,995,354,687,425,4547,216,274,870,255,3154,606,10661,272,1808,485,6489,0,0,718,12054,24,59,627,1082,640,767,711,1943,603,4874,520,2061,2386,93651,1248,2067,249,238,882,1421,214,107,126,164,0,0,0,0,26,46,2255,10565,2298,11623,458,1037,1933,5940
3,"$75,000 under $100,000",1126,1012,738,3198,1050,96866,1012,75695,679,1749,270,803,237,559,229,4219,160,209,877,156,3480,298,6405,93,653,233,4258,0,0,483,9204,27,103,420,903,449,666,481,1697,420,3608,396,2045,1123,68723,649,1127,159,149,442,748,123,62,0,0,0,0,0,0,0,0,1117,8549,1121,9365,242,791,884,3140
3,"$100,000 under $200,000",857,793,573,2396,739,109704,738,77730,630,2541,269,1336,246,1022,205,5656,134,225,1706,152,5023,276,9380,50,383,175,3764,30,743,463,10553,42,243,397,1007,432,814,463,2091,387,4046,408,2492,856,85864,423,692,130,144,218,312,85,45,0,0,0,0,0,0,0,0,851,14337,852,15733,317,1797,538,2606
3,"$200,000 or more",155,134,129,414,123,71067,117,35248,139,3130,100,2806,96,2003,66,7935,42,100,8939,0,0,42,1506,0,0,31,675,0,0,122,8006,26,402,92,355,113,509,121,1286,77,1280,113,1946,154,61234,60,182,0,0,0,0,0,0,0,0,0,0,0,0,60,273,154,15881,154,16771,80,2355,74,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Benton County,6764,3062,4423,13684,3938,239668,5219,172338,2405,6893,784,2289,703,1745,1214,9610,433,590,2242,495,5262,1606,29366,994,6061,993,9398,0,0,919,17363,60,209,772,1453,769,1010,900,2778,637,4371,652,3262,4560,139769,1847,1869,352,315,952,1041,152,68,1185,1378,1890,4122,1675,3529,31,72,3924,19515,4565,21501,840,2134,5670,15776
5,Under $1,130,57,98,208,26,-3279,26,434,51,96,27,69,25,54,66,-609,28,33,31,0,0,24,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,0,0,50,103
5,"$1 under $25,000",3405,856,2132,5838,1722,42737,2467,28737,731,1366,239,230,210,128,636,3923,100,173,-40,169,840,600,5388,541,3430,172,265,0,0,116,1450,0,0,92,84,88,92,109,191,66,406,67,148,1377,7611,401,142,36,18,122,41,24,7,875,969,1514,3469,1377,3002,0,0,1074,666,1602,1326,281,174,2968,7098
5,"$25,000 under $50,000",1637,839,1071,3545,1021,58453,1342,42963,602,1516,167,255,143,148,220,1427,95,120,112,135,992,475,8932,255,1438,419,2349,0,0,240,3718,33,52,198,259,184,196,233,510,145,795,136,425,1596,28758,668,576,111,93,387,354,47,24,282,381,376,653,298,527,0,0,1297,2869,1376,3214,194,240,1431,4118
