CBSACODE,CBSATITLE,CBSASTATUS,agi_stub,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,4,9118.0,6639.0,5142.0,23070.0,7199.0,560356.0,8014.0,437013.0,4232.0,5352.0,1769.0,4451.0,1576.0,3042.0,1800.0,14501.0,642.0,1267.0,2501.0,1096.0,11853.0,2541.0,60776.0,488.0,3649.0,1849.0,24014.0,21.0,150.0,2557.0,45843.0,92.0,235.0,2125.0,3024.0,2200.0,5630.0,2522.0,9073.0,1847.0,12109.0,1936.0,9062.0,9080.0,362198.0,4701.0,7730.0,3193.0,5222.0,916.0,486.0,687.0,574.0,0.0,0.0,0.0,0.0,442.0,488.0,43.0,80.0,8618.0,41918.0,8755.0,45378.0,1987.0,4134.0,7109.0,22313.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,5,4914.0,4289.0,2770.0,13582.0,4326.0,422669.0,4320.0,319252.0,2967.0,4531.0,1352.0,4577.0,1213.0,3320.0,1127.0,12956.0,440.0,1004.0,2939.0,762.0,11686.0,1644.0,45666.0,207.0,1512.0,1039.0,17226.0,50.0,720.0,1987.0,39441.0,43.0,126.0,1738.0,2946.0,1840.0,5290.0,1974.0,8547.0,1543.0,10671.0,1632.0,9700.0,4907.0,301183.0,2696.0,4797.0,1726.0,3101.0,530.0,290.0,469.0,418.0,0.0,0.0,0.0,0.0,24.0,39.0,0.0,0.0,4860.0,38334.0,4871.0,41109.0,1339.0,3789.0,3564.0,12387.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,6,4469.0,4073.0,2770.0,12476.0,3895.0,578817.0,3950.0,415082.0,3274.0,7545.0,1778.0,10049.0,1647.0,8750.0,1291.0,32529.0,517.0,1355.0,9930.0,706.0,16268.0,1549.0,54559.0,111.0,727.0,881.0,17336.0,100.0,1701.0,2746.0,64141.0,101.0,487.0,2458.0,5211.0,2589.0,9351.0,2737.0,15295.0,2205.0,17536.0,2451.0,19775.0,4464.0,449854.0,2377.0,3557.0,1057.0,1504.0,390.0,204.0,493.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,466.0,4448.0,75457.0,4456.0,80871.0,1690.0,9027.0,2786.0,14259.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,7,1193.0,1034.0,1042.0,3257.0,1023.0,757441.0,912.0,196733.0,1091.0,17017.0,851.0,31909.0,784.0,24945.0,575.0,61063.0,236.0,809.0,263384.0,201.0,13179.0,254.0,9959.0,0.0,0.0,252.0,5520.0,142.0,4601.0,1018.0,61672.0,43.0,549.0,942.0,3277.0,952.0,7369.0,1017.0,11356.0,598.0,7691.0,956.0,33585.0,1193.0,681941.0,569.0,1346.0,0.0,0.0,42.0,22.0,107.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,2816.0,1192.0,157808.0,1192.0,163700.0,570.0,29302.0,599.0,18636.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,0,15851.0,6777.0,9847.0,32568.0,10266.0,680609.0,13381.0,505895.0,5115.0,10789.0,1873.0,7087.0,1685.0,5639.0,2799.0,30926.0,1397.0,1673.0,12710.0,1133.0,13171.0,2787.0,50714.0,978.0,5971.0,1866.0,19796.0,59.0,1368.0,3369.0,77034.0,2545.0,12276.0,745.0,1056.0,2820.0,3424.0,3345.0,17143.0,2410.0,17770.0,2690.0,16261.0,11410.0,424353.0,5140.0,6179.0,2937.0,3627.0,619.0,279.0,536.0,458.0,4051.0,8821.0,3608.0,7970.0,2709.0,3348.0,178.0,730.0,9852.0,65370.0,10860.0,70958.0,2621.0,10196.0,12678.0,37613.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,1,252.0,118.0,190.0,409.0,55.0,-12939.0,59.0,1660.0,109.0,344.0,61.0,140.0,54.0,112.0,101.0,-619.0,87.0,83.0,1245.0,21.0,523.0,45.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,58.0,20.0,24.0,111.0,533.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,2,7285.0,1402.0,4103.0,11790.0,3577.0,91743.0,5943.0,73018.0,1275.0,1351.0,412.0,661.0,363.0,388.0,930.0,5591.0,292.0,363.0,276.0,301.0,1631.0,893.0,8203.0,499.0,3136.0,236.0,405.0,0.0,0.0,324.0,4497.0,90.0,119.0,211.0,167.0,211.0,173.0,317.0,479.0,155.0,844.0,219.0,679.0,3233.0,19386.0,980.0,320.0,320.0,117.0,50.0,14.0,29.0,12.0,2978.0,6874.0,2733.0,6340.0,1775.0,2039.0,0.0,0.0,2613.0,1757.0,3332.0,2994.0,637.0,351.0,6245.0,13992.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,3,3849.0,1637.0,2411.0,8300.0,2712.0,136594.0,3386.0,112299.0,1135.0,1335.0,355.0,592.0,310.0,405.0,614.0,3917.0,306.0,292.0,657.0,293.0,2288.0,695.0,11195.0,298.0,1743.0,672.0,3755.0,0.0,0.0,672.0,9647.0,402.0,681.0,249.0,297.0,517.0,428.0,665.0,1459.0,435.0,2487.0,472.0,1626.0,3718.0,69149.0,1779.0,1578.0,1135.0,1064.0,154.0,68.0,144.0,99.0,1045.0,1908.0,875.0,1630.0,825.0,1184.0,0.0,0.0,2915.0,6813.0,3121.0,7638.0,555.0,751.0,3275.0,9460.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,4,2012.0,1468.0,1364.0,5192.0,1671.0,123505.0,1791.0,97979.0,939.0,997.0,322.0,736.0,291.0,561.0,452.0,4985.0,279.0,288.0,1739.0,204.0,2147.0,474.0,9959.0,114.0,690.0,431.0,5732.0,0.0,0.0,698.0,12141.0,522.0,1261.0,159.0,244.0,577.0,587.0,692.0,2156.0,500.0,3169.0,541.0,2602.0,2009.0,78579.0,1078.0,1745.0,758.0,1256.0,186.0,82.0,152.0,128.0,0.0,0.0,0.0,0.0,109.0,125.0,0.0,0.0,1886.0,8892.0,1925.0,9834.0,498.0,1170.0,1510.0,4443.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,5,1148.0,990.0,793.0,3194.0,1047.0,99138.0,1039.0,77370.0,678.0,883.0,255.0,708.0,236.0,506.0,284.0,3146.0,181.0,221.0,1564.0,135.0,1887.0,315.0,7976.0,33.0,139.0,236.0,4064.0,0.0,0.0,639.0,11716.0,572.0,1947.0,57.0,117.0,572.0,613.0,637.0,2748.0,524.0,3619.0,538.0,2578.0,1148.0,70087.0,635.0,1143.0,447.0,778.0,109.0,57.0,86.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.0,8806.0,1143.0,9440.0,350.0,925.0,797.0,2784.0
10220,"Ada, OK Micro Area",Micropolitan Statistical Area,6,1026.0,928.0,739.0,2946.0,980.0,132888.0,936.0,94919.0,743.0,1809.0,311.0,1429.0,282.0,1153.0,296.0,5193.0,177.0,274.0,2751.0,137.0,3117.0,302.0,9799.0,34.0,263.0,211.0,4231.0,39.0,448.0,766.0,18299.0,717.0,3907.0,47.0,133.0,704.0,1018.0,765.0,5151.0,626.0,5289.0,688.0,4363.0,1026.0,100859.0,541.0,942.0,277.0,412.0,120.0,58.0,125.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53.0,1022.0,16609.0,1022.0,17558.0,415.0,2445.0,609.0,2926.0
