County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
9,Under $1,277,101,209,447,78,-12200,84,1861,118,220,70,119,57,69,82,-329,78,105,635,25,227,35,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,46,28,28,0,0,0,0,53,81,26,38,149,292
9,"$1 under $25,000",7289,823,3503,8935,2061,89036,5981,68867,1709,1899,622,948,545,436,759,3731,219,508,229,448,2316,863,6244,940,6471,221,369,0,0,522,7263,236,249,231,180,392,782,505,1284,290,1908,351,553,3795,23998,1276,502,62,28,239,84,103,29,1076,1183,2040,3939,1802,3596,0,0,3017,2078,3577,2853,839,411,5964,9866
9,"$25,000 under $50,000",4594,1534,2628,8856,2617,165717,4174,136503,1642,1755,571,880,495,394,599,3991,203,461,934,400,3159,697,10141,801,6221,570,3215,0,0,1361,18610,1154,1990,180,161,1214,2340,1361,4678,1096,7701,898,1457,4457,89006,2042,1846,244,148,1013,965,280,139,762,1181,885,1414,694,1129,0,0,3681,9170,3952,10237,646,789,3933,9327
9,"$50,000 under $75,000",2817,2082,1907,7484,2576,174259,2614,143358,1469,1487,543,844,477,436,527,3857,177,409,1495,325,3565,566,10715,560,4709,407,5318,37,222,1570,25887,1508,4297,44,59,1464,3154,1569,7824,1388,10793,1240,2065,2809,107866,1629,2809,334,231,1073,1811,384,195,194,261,0,0,0,0,0,0,2621,11688,2687,12631,563,981,2250,6472
9,"$75,000 under $100,000",1712,1538,1176,5080,1826,147274,1622,123271,1057,974,446,575,399,334,289,2844,90,285,890,180,2798,352,8359,269,2066,198,3319,0,0,1270,23992,1240,5047,36,98,1240,3183,1270,8579,1147,9408,1117,2329,1710,99737,1108,2188,254,201,753,1355,319,153,0,0,0,0,0,0,0,0,1691,11742,1700,12437,337,809,1375,4570
9,"$100,000 under $200,000",1301,1226,929,4168,1641,162668,1232,130462,899,1755,451,988,400,705,238,4270,70,336,2594,161,3974,305,9401,148,1223,143,2610,26,398,1205,28063,1188,7767,0,0,1179,3655,1204,11919,1081,10037,1126,3441,1301,118315,876,1587,223,213,497,806,255,123,0,0,0,0,0,0,50,108,1297,18189,1297,19104,401,1692,899,3734
9,"$200,000 or more",170,157,151,540,211,77150,152,35963,157,1430,127,3906,122,3499,42,1407,23,109,12144,25,1161,29,1122,0,0,35,758,0,0,165,12100,156,4566,0,0,158,955,165,5655,119,1755,160,1729,170,63023,104,153,27,55,0,0,26,9,0,0,0,0,0,0,136,938,170,16032,170,16223,90,3559,80,1200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Big Stone County,2460,1185,1875,4678,1246,101239,1886,60626,1248,2588,503,948,402,511,389,2306,390,449,3765,301,2268,527,8517,210,1409,450,4267,21,410,511,10126,417,2514,83,64,375,642,505,3307,251,1538,410,1832,1786,65231,805,1050,227,175,310,452,111,44,241,327,369,706,304,607,27,178,1561,9094,1753,10733,635,3060,1657,3983
11,Under $1,71,28,63,115,22,-3514,24,334,39,74,0,0,0,0,20,-160,30,21,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,76
11,"$1 under $25,000",1045,223,714,1330,272,12671,762,8335,391,533,149,217,115,97,147,524,86,127,91,96,424,195,1487,77,414,66,107,0,0,84,1408,24,24,54,40,45,60,78,127,26,144,54,92,466,2848,120,49,0,0,25,11,0,0,134,146,278,550,233,484,0,0,374,248,509,422,160,109,770,1215
11,"$25,000 under $50,000",600,288,480,1196,308,21852,477,14558,312,568,123,172,98,93,97,636,89,95,275,76,470,132,2249,63,453,167,891,0,0,111,1737,89,182,29,24,83,115,111,325,58,337,78,207,576,11451,262,222,86,54,88,84,43,14,83,144,91,156,71,123,0,0,472,1154,518,1455,146,281,442,1017
11,"$50,000 under $75,000",371,302,298,988,312,23027,306,14893,211,440,84,157,68,86,57,363,83,76,245,57,433,110,2366,40,279,109,1372,21,410,119,2027,111,377,0,0,93,124,119,530,62,350,100,344,371,14565,200,353,64,56,111,197,35,17,24,37,0,0,0,0,0,0,345,1565,355,1859,140,437,230,636
11,"$75,000 under $100,000",200,182,162,544,162,17301,171,10692,147,280,63,81,51,38,36,236,50,55,299,44,418,49,1399,30,263,60,998,0,0,73,1337,71,331,0,0,59,122,73,474,49,320,65,208,200,12504,112,212,35,25,54,105,33,13,0,0,0,0,0,0,0,0,198,1529,199,1751,90,490,109,303
11,"$100,000 under $200,000",140,133,125,415,142,17913,120,8927,119,373,63,149,50,92,32,707,52,52,988,28,523,41,1016,0,0,48,899,0,0,93,2022,92,841,0,0,73,153,93,1016,56,387,85,459,140,13822,90,176,42,40,32,55,0,0,0,0,0,0,0,0,0,0,139,2137,139,2587,99,1743,74,736
11,"$200,000 or more",33,29,33,90,28,11989,26,2887,29,320,21,172,20,105,0,0,0,23,1578,0,0,0,0,0,0,0,0,0,0,31,1595,30,759,0,0,22,68,31,835,0,0,28,522,33,10041,21,38,0,0,0,0,0,0,0,0,0,0,0,0,27,178,33,2461,33,2659,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Blue Earth County,27986,10789,15450,50714,14000,1291372,23596,962911,11917,26270,6040,19463,5329,13997,4013,9045,1006,4189,34661,2667,29461,4724,83198,2877,21364,3244,38241,178,3204,9086,183938,8048,43856,850,1624,8360,18377,9062,66167,7145,57623,7563,25233,21433,843447,10475,13194,2317,1723,4309,6014,1693,796,2552,3220,4192,6971,3623,6202,449,2713,18854,128585,20169,138606,4756,20362,21791,61799
