County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
3,"$25,000 under $50,000",503,257,387,1095,332,18167,428,13610,249,458,85,79,76,56,76,499,120,84,390,57,415,103,1472,71,395,125,622,0,0,71,969,69,236,26,20,41,45,71,209,41,213,31,62,492,9229,223,198,43,31,132,120,31,14,85,126,104,176,81,147,0,0,397,885,433,1082,107,191,394,1140
3,"$50,000 under $75,000",288,235,240,761,238,17856,251,12990,181,281,67,198,60,137,59,574,70,67,357,35,353,80,1035,39,154,67,886,21,242,59,1005,51,157,0,0,52,75,59,252,39,191,44,122,287,11559,155,273,38,41,86,141,36,20,21,25,0,0,0,0,0,0,263,1255,275,1457,87,307,200,584
3,"$75,000 under $100,000",145,131,120,386,110,12268,130,8509,114,374,50,80,49,66,33,320,48,39,181,30,1181,38,928,24,94,32,568,0,0,58,1031,55,262,0,0,47,70,58,352,46,237,46,105,144,8855,82,147,43,39,58,102,25,12,0,0,0,0,0,0,0,0,143,1072,144,1250,51,255,93,303
3,"$100,000 under $200,000",86,78,70,229,65,10881,86,8131,74,176,57,356,52,280,29,1322,44,54,1618,0,0,35,954,0,0,29,534,0,0,70,2292,67,866,0,0,62,131,70,1025,39,274,61,538,85,8247,52,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1341,84,1669,68,1747,40,303
3,"$200,000 or more",23,22,23,68,23,9714,0,0,23,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2265,23,2411,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allamakee County,6740,3167,5134,14110,4119,256071,5358,183049,3523,7659,1464,2887,1217,2005,1306,10925,1054,1279,15698,851,7049,1283,17637,1056,6398,959,9353,39,503,1599,28054,1266,5750,307,238,1385,2501,1594,8868,990,5967,1223,2831,4925,159881,2275,2769,515,393,1045,1369,314,149,984,1587,1120,2263,904,1923,60,305,4181,20700,4781,23631,1304,3949,5098,13189
5,Under $1,220,107,197,420,93,-13727,79,1176,120,231,55,133,45,88,79,-1061,120,93,1282,24,84,40,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,74,27,56,0,0,0,0,63,83,29,16,111,212
5,"$1 under $25,000",2862,599,1988,4449,1106,37403,2109,26399,1101,1521,414,455,335,268,462,2361,258,327,984,303,1394,425,3127,355,2140,140,207,0,0,276,4319,85,234,175,104,216,339,273,719,89,468,216,347,1350,8001,383,120,49,21,93,28,20,7,545,759,746,1641,626,1457,0,0,1090,720,1442,1201,408,213,2225,4176
5,"$25,000 under $50,000",1764,843,1386,3969,1174,64092,1510,47428,888,1573,345,521,283,332,319,2405,262,300,1400,230,1514,359,4822,358,2121,394,2150,0,0,433,6219,344,695,83,74,343,508,432,1351,248,1246,289,546,1683,31676,787,654,158,102,382,350,94,44,364,716,327,548,251,410,0,0,1299,3066,1446,3656,281,369,1463,3952
5,"$50,000 under $75,000",1016,806,827,2720,885,62234,886,44463,684,1669,290,573,245,409,238,1890,201,253,2130,149,1254,245,4304,238,1544,222,3069,0,0,357,5978,328,997,29,31,327,538,357,1645,257,1452,266,464,1015,39015,593,927,148,110,317,532,99,48,75,112,0,0,0,0,0,0,928,4061,961,4654,276,685,733,2131
5,"$75,000 under $100,000",481,446,406,1395,468,41408,429,30282,378,908,161,278,132,232,104,1077,106,130,1536,73,1073,118,2760,77,454,111,2139,0,0,238,4390,230,1036,20,29,216,386,237,1504,192,1297,192,405,480,29101,281,591,88,91,162,318,68,32,0,0,0,0,0,0,0,0,467,3304,472,3626,133,438,346,1147
5,"$100,000 under $200,000",322,297,259,968,348,40469,286,25999,279,800,153,607,133,422,73,2453,80,123,3556,72,1730,96,2361,28,139,65,1243,39,503,228,4667,221,1628,0,0,223,509,228,2234,169,1170,198,591,322,31164,192,343,72,69,91,141,33,18,0,0,0,0,0,0,0,0,322,4723,322,5333,132,936,190,891
5,"$200,000 or more",75,69,71,189,45,24192,59,7302,73,957,46,320,44,254,31,1800,27,53,4810,0,0,0,0,0,0,27,545,0,0,67,2481,58,1160,0,0,60,221,67,1415,35,334,62,478,75,20924,39,134,0,0,0,0,0,0,0,0,0,0,0,0,60,305,75,4826,75,5078,45,1292,30,680
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Appanoose County,5536,2598,4302,11167,3228,201321,4377,147581,2154,3868,1160,2762,1054,1815,1095,10344,768,836,7178,563,4512,1271,18581,813,4077,736,6486,21,418,1007,17781,813,3349,173,133,857,1558,1005,5299,642,3894,720,2334,3982,120539,1824,2026,377,259,930,1181,239,96,758,922,1216,2398,1043,2108,27,128,3417,15426,3888,17323,859,2202,4398,11207
7,Under $1,145,64,130,244,39,-5565,42,793,87,119,56,79,48,49,54,-589,71,55,202,0,0,38,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0,0,67,120
7,"$1 under $25,000",2408,564,1760,3690,940,29965,1742,20643,639,1052,339,518,302,282,429,2361,211,245,120,232,998,461,3729,269,1620,117,215,0,0,158,2344,58,83,91,49,107,173,156,335,47,263,101,210,1057,6109,297,93,39,15,81,28,0,0,428,454,849,1746,747,1583,0,0,849,546,1156,912,267,144,1964,3849
7,"$25,000 under $50,000",1609,799,1286,3474,1043,57579,1368,44135,612,883,304,575,270,370,293,2156,204,199,509,152,1050,388,5534,339,1610,327,1782,0,0,268,4205,205,402,55,50,216,297,268,802,156,858,161,452,1554,28887,751,635,132,77,397,364,89,31,298,429,367,652,296,525,0,0,1235,2796,1361,3240,231,285,1359,3844
7,"$50,000 under $75,000",746,600,616,1994,640,45611,666,35595,400,652,197,698,188,459,159,1629,132,138,428,86,886,199,3334,138,600,145,1915,21,418,218,3538,202,543,27,34,197,353,218,956,163,934,159,473,743,29014,423,669,107,74,258,429,81,38,32,39,0,0,0,0,0,0,710,3112,724,3425,152,360,591,1724
7,"$75,000 under $100,000",373,343,305,1068,352,32060,342,24685,220,413,133,385,125,322,82,1324,88,86,742,55,671,104,2390,67,247,80,1357,0,0,171,2947,167,740,0,0,160,296,171,1091,141,840,136,386,373,22882,224,422,59,54,140,263,44,18,0,0,0,0,0,0,0,0,369,2687,369,2932,103,248,269,940
7,"$100,000 under $200,000",220,199,173,615,214,27612,189,17950,168,600,111,395,121,333,78,3463,62,113,5177,38,907,81,3311,0,0,67,1217,0,0,159,3462,153,1049,0,0,148,348,159,1462,113,814,133,610,220,21197,129,207,40,39,54,97,25,9,0,0,0,0,0,0,27,128,219,3355,220,3681,106,1165,148,730
7,"$200,000 or more",35,29,32,82,0,14059,28,3780,28,149,20,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1285,28,532,0,0,29,91,33,653,22,185,30,203,35,12450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2930,35,3100,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Audubon County,2883,1418,2265,5664,1571,120963,2218,75154,1349,3183,854,1545,785,1099,571,6531,568,580,8027,329,2267,535,6663,240,1523,506,5382,49,1123,618,12109,456,2925,152,107,473,746,616,3936,297,1625,466,1462,2205,85260,977,1281,220,176,436,592,132,63,307,411,444,906,369,762,38,196,1948,12312,2171,15109,814,5107,1923,4688
9,Under $1,70,32,64,120,21,-11946,22,519,40,101,31,24,27,11,24,-140,42,27,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,141,0,0,29,61
9,"$1 under $25,000",1093,240,792,1447,323,13711,789,9086,376,579,193,218,169,118,186,802,83,127,47,120,532,181,1431,80,460,57,86,0,0,120,1860,35,44,79,38,80,105,118,199,31,126,85,148,517,3101,134,45,0,0,30,10,0,0,156,193,288,644,245,573,0,0,431,280,554,490,199,244,805,1464
