STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
20,KS,039,Decatur County,0,1475.0000,682.0000,1139.0000,2701.0000,649.0000,58390.0000,1072.0000,30880.0000,767.0000,1673.0000,335.0000,837.0000,306.0000,639.0000,289.0000,2508.0000,293.0000,310.0000,1888.0000,180.0000,1603.0000,300.0000,4012.0000,66.0000,534.0000,261.0000,2883.0000,0.0000,0.0000,262.0000,5520.0000,141.0000,739.0000,116.0000,116.0000,176.0000,341.0000,262.0000,1268.0000,89.0000,429.0000,170.0000,689.0000,1016.0000,37870.0000,406.0000,443.0000,175.0000,241.0000,35.0000,16.0000,96.0000,85.0000,229.0000,376.0000,174.0000,323.0000,135.0000,171.0000,0.0000,0.0000,901.0000,5777.0000,1029.0000,6718.0000,392.0000,2081.0000,932.0000,1992.0000
20,KS,041,Dickinson County,0,9350.0000,4475.0000,6027.0000,18878.0000,5557.0000,391160.0000,7599.0000,280615.0000,3923.0000,6615.0000,1905.0000,4886.0000,1706.0000,3479.0000,1401.0000,9737.0000,876.0000,1495.0000,7330.0000,1073.0000,9147.0000,2123.0000,32369.0000,835.0000,4831.0000,1294.0000,13166.0000,60.0000,702.0000,2085.0000,38806.0000,1497.0000,6769.0000,535.0000,727.0000,1833.0000,4185.0000,2077.0000,12391.0000,1453.0000,9749.0000,1553.0000,6160.0000,7045.0000,242031.0000,3210.0000,3714.0000,1657.0000,2140.0000,414.0000,208.0000,552.0000,438.0000,1693.0000,3604.0000,1497.0000,3284.0000,1238.0000,1721.0000,59.0000,224.0000,6214.0000,32813.0000,6741.0000,36278.0000,1711.0000,6073.0000,7124.0000,18851.0000
20,KS,043,Doniphan County,0,3446.0000,1591.0000,2449.0000,6965.0000,2077.0000,149516.0000,2857.0000,107846.0000,1488.0000,2250.0000,539.0000,777.0000,491.0000,521.0000,519.0000,3955.0000,421.0000,418.0000,4241.0000,266.0000,2021.0000,736.0000,10110.0000,406.0000,2519.0000,449.0000,4841.0000,0.0000,0.0000,640.0000,12175.0000,509.0000,2482.0000,116.0000,155.0000,535.0000,966.0000,636.0000,3890.0000,412.0000,2842.0000,459.0000,1659.0000,2626.0000,94481.0000,1154.0000,1501.0000,629.0000,854.0000,149.0000,74.0000,187.0000,153.0000,628.0000,1379.0000,538.0000,1242.0000,433.0000,541.0000,38.0000,201.0000,2317.0000,12876.0000,2512.0000,14440.0000,682.0000,3291.0000,2577.0000,7267.0000
20,KS,045,Douglas County,0,47734.0000,17847.0000,21979.0000,87833.0000,24731.0000,2531777.0000,40861.0000,1860674.0000,19818.0000,33445.0000,10628.0000,43354.0000,9664.0000,30522.0000,7266.0000,78934.0000,974.0000,7806.0000,121373.0000,4544.0000,65037.0000,8449.0000,157352.0000,3740.0000,26460.0000,5151.0000,66279.0000,367.0000,5279.0000,16775.0000,367113.0000,13086.0000,77455.0000,3030.0000,5221.0000,15278.0000,49692.0000,16718.0000,139236.0000,13371.0000,113040.0000,13197.0000,51248.0000,37058.0000,1716057.0000,16935.0000,20205.0000,7345.0000,9705.0000,2430.0000,1195.0000,2486.0000,2091.0000,7010.0000,12075.0000,6022.0000,10670.0000,4407.0000,5414.0000,1079.0000,6221.0000,33132.0000,282043.0000,35226.0000,297508.0000,8452.0000,33177.0000,37173.0000,95966.0000
20,KS,047,Edwards County,0,1521.0000,712.0000,1137.0000,3088.0000,904.0000,65219.0000,1175.0000,41031.0000,723.0000,1157.0000,314.0000,1420.0000,269.0000,922.0000,269.0000,2512.0000,244.0000,247.0000,1476.0000,149.0000,883.0000,278.0000,3273.0000,76.0000,537.0000,210.0000,2439.0000,0.0000,0.0000,222.0000,4230.0000,163.0000,1007.0000,54.0000,70.0000,163.0000,322.0000,222.0000,1480.0000,81.0000,430.0000,177.0000,818.0000,1114.0000,43714.0000,498.0000,594.0000,269.0000,358.0000,59.0000,30.0000,98.0000,96.0000,222.0000,446.0000,190.0000,392.0000,199.0000,252.0000,23.0000,90.0000,971.0000,6458.0000,1074.0000,7628.0000,352.0000,2541.0000,1049.0000,2439.0000
20,KS,049,Elk County,0,1217.0000,608.0000,864.0000,2408.0000,626.0000,41733.0000,854.0000,27755.0000,529.0000,924.0000,210.0000,473.0000,185.0000,334.0000,284.0000,3436.0000,271.0000,221.0000,1787.0000,119.0000,1032.0000,346.0000,4601.0000,129.0000,903.0000,186.0000,1778.0000,0.0000,0.0000,185.0000,3336.0000,115.0000,622.0000,61.0000,59.0000,153.0000,276.0000,183.0000,1037.0000,83.0000,404.0000,140.0000,484.0000,774.0000,26674.0000,301.0000,343.0000,157.0000,200.0000,0.0000,0.0000,46.0000,49.0000,256.0000,557.0000,224.0000,487.0000,155.0000,204.0000,0.0000,0.0000,653.0000,3964.0000,766.0000,4566.0000,219.0000,1020.0000,877.0000,2209.0000
20,KS,051,Ellis County,0,13452.0000,5487.0000,8510.0000,24960.0000,6870.0000,648353.0000,11315.0000,461237.0000,6576.0000,10820.0000,3060.0000,11157.0000,2819.0000,8788.0000,2658.0000,37605.0000,865.0000,2265.0000,18191.0000,1276.0000,13685.0000,1998.0000,26084.0000,551.0000,3106.0000,1528.0000,17907.0000,117.0000,1777.0000,3614.0000,73878.0000,2780.0000,16369.0000,760.0000,1121.0000,3287.0000,8221.0000,3599.0000,27060.0000,2502.0000,15736.0000,2915.0000,14763.0000,10310.0000,437436.0000,4888.0000,5645.0000,2146.0000,3003.0000,838.0000,392.0000,848.0000,725.0000,1833.0000,3300.0000,1563.0000,2903.0000,1332.0000,1769.0000,251.0000,1352.0000,9106.0000,70953.0000,9767.0000,77033.0000,2466.0000,10534.0000,10265.0000,25343.0000
20,KS,053,Ellsworth County,0,2815.0000,1336.0000,2054.0000,5371.0000,1387.0000,127413.0000,2236.0000,84140.0000,1424.0000,2416.0000,703.0000,1415.0000,621.0000,865.0000,470.0000,3298.0000,377.0000,614.0000,8730.0000,353.0000,4139.0000,638.0000,8583.0000,178.0000,1066.0000,477.0000,5018.0000,0.0000,0.0000,568.0000,10681.0000,401.0000,2184.0000,159.0000,192.0000,469.0000,960.0000,567.0000,3591.0000,321.0000,1660.0000,424.0000,1822.0000,2127.0000,83922.0000,950.0000,1042.0000,407.0000,539.0000,106.0000,49.0000,171.0000,154.0000,428.0000,871.0000,377.0000,776.0000,285.0000,395.0000,33.0000,326.0000,1866.0000,12369.0000,2043.0000,13521.0000,555.0000,2374.0000,2067.0000,5619.0000
20,KS,055,Finney County,0,16641.0000,6656.0000,9945.0000,39960.0000,15401.0000,755828.0000,14986.0000,553607.0000,5123.0000,9884.0000,2048.0000,11160.0000,1841.0000,9269.0000,2317.0000,31987.0000,441.0000,1516.0000,11816.0000,886.0000,8576.0000,1710.0000,20587.0000,679.0000,4570.0000,1211.0000,13728.0000,88.0000,1519.0000,3363.0000,67496.0000,2810.0000,16392.0000,494.0000,723.0000,3096.0000,7822.0000,3351.0000,26256.0000,2545.0000,15753.0000,2706.0000,12349.0000,12356.0000,466968.0000,6769.0000,9084.0000,4445.0000,5434.0000,853.0000,473.0000,635.0000,554.0000,4336.0000,10309.0000,3958.0000,9378.0000,4414.0000,6486.0000,199.0000,1107.0000,9586.0000,74162.0000,10584.0000,81484.0000,2443.0000,21610.0000,13801.0000,42519.0000
20,KS,057,Ford County,0,15723.0000,5722.0000,10496.0000,40527.0000,14576.0000,643407.0000,14051.0000,499009.0000,4591.0000,7005.0000,2069.0000,8255.0000,1824.0000,6081.0000,1738.0000,21032.0000,635.0000,1516.0000,15559.0000,1024.0000,10347.0000,1677.0000,21013.0000,518.0000,3624.0000,1258.0000,14470.0000,66.0000,911.0000,2719.0000,54860.0000,2047.0000,11170.0000,635.0000,947.0000,2385.0000,6497.0000,2711.0000,20119.0000,1885.0000,10916.0000,2063.0000,8893.0000,11646.0000,367550.0000,6496.0000,6923.0000,4687.0000,4990.0000,608.0000,356.0000,581.0000,461.0000,3446.0000,7969.0000,3137.0000,7445.0000,5064.0000,8860.0000,184.0000,1046.0000,8313.0000,52694.0000,8901.0000,57683.0000,2159.0000,9991.0000,13004.0000,39418.0000
